scenario_a,scenario_b,virtue,source
"You make small concessions on minor points, even though your delegation criticizes you for giving anything away and the press back home will report each concession as a defeat.","You refuse to concede anything — your negotiating position is strong, your constituents sent you to fight, and any concession will be seen as weakness that invites further demands.",prudence,"Aquinas, ST II-II Q.50 a.1"
"You plan household expenditures carefully and sacrifice personal comforts so your children can be educated, even though your friends pity you and your children resent the austerity.","You maintain the lifestyle your family is accustomed to — your children deserve to live as well as their peers, your social standing depends on appearances, and the money for education can be found later.",prudence,"Ambrose, De Viduis 11"
"You tell the gravely ill patient the truth about his condition, knowing the conversation will be devastating and his family may blame you for destroying his hope.","You soften the prognosis — the patient's morale affects recovery, his family will be grateful for the hope, and there is always a chance the diagnosis is wrong. Why cause unnecessary suffering?",prudence,"Augustine, Enchiridion 18"
"You decline the commission and recommend a more skilled artisan, losing the fee and admitting your own limitations in front of the client.","You accept the commission — the fee is substantial, you can probably figure it out as you go, and turning down work damages your reputation. No craftsman succeeds by admitting he cannot do something.",prudence,"Aquinas, ST II-II Q.47 a.3"
"You propose modest reductions across all departments, angering every department head equally and gaining no political allies in the process.","You eliminate services to the poorest citizens — they have no political voice, the budget is balanced cleanly, the other departments are grateful their funding is preserved, and you gain allies for the next council election.",prudence,"Ambrose, De Nabuthe 1"
"You speak with your son privately to understand why he lied, investing time and emotional energy in a long conversation when you are already exhausted from the day.","You punish him swiftly in front of his siblings — it sends a clear message to all the children at once, you do not have the energy for a long conversation, and your own father disciplined you the same way and you turned out fine.",prudence,"Augustine, Confessions I.19"
"You spend weeks studying local customs and adjusting your practices before doing business, losing time and early opportunities to competitors who plunged in immediately.","You conduct business exactly as you do at home — your methods work, adapting to local customs feels like compromising your standards, and your competitors who dove in first are already making money.",prudence,"Aquinas, ST II-II Q.49 a.1"
"You lend only a smaller amount you can afford to lose, knowing your friend is disappointed and may accuse you of not trusting her.","You lend the full amount — your friend is desperate, she has always been reliable, refusing feels selfish, and she promises to repay within the month.",prudence,"Ambrose, De Officiis I.30"
"You suggest a flanking maneuver to your captain, risking being seen as insubordinate and knowing that if the maneuver fails, you will bear the blame.","You charge forward as ordered — obedience is the soldier's first duty, the captain knows the situation better than you do, and the men who question orders are never promoted.",prudence,"Aquinas, ST II-II Q.50 a.4"
"You continue studying humbly, even though your early success has opened doors to lucrative positions and your peers tell you that further study is a waste of time when you could be earning money and influence now.","You stop studying and capitalize on your early reputation — positions are available now that may not be later, your knowledge is already impressive, and the market rewards credentials more than continued learning.",prudence,"Augustine, Confessions III.4"
"You distribute grain according to family size, which means some of your allies receive less and complain that you show them no special favor.","You distribute grain to whoever comes first — it is simpler, rewards initiative, and your allies who arrive early will be grateful for the extra share.",prudence,"Ambrose, De Officiis I.28"
"You refuse to repeat the unverified gossip, knowing that everyone else is sharing it and your silence makes you look like you are protecting the rival.","You share what you heard — everyone already knows, your silence looks suspicious, and the gossip is probably true anyway. Besides, the rival would certainly do the same to you.",prudence,"Aquinas, ST II-II Q.47 a.7"
"You commission a survey of actual threats before building the wall, delaying the project months while neighboring cities fortify themselves and your citizens grow anxious.","You approve construction immediately — the threat reports are alarming, your citizens expect protection now, the contractor is available today, and being the leader who built the wall is far better than being the one who studied the problem while barbarians attacked.",prudence,"Aquinas, ST II-II Q.47 a.8"
"You account for ground settling over decades, adding expensive reinforcements no one will see or appreciate, while other architects complete their cathedrals faster and cheaper.","You use the minimum materials necessary — the building will stand beautifully for decades, your profit margin doubles, you finish ahead of schedule, and any problems will emerge long after your career is over.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You return to community life, acknowledging that your comfortable solitude has become an escape rather than a path to growth, even though the community is noisy and demanding.","You stay in your solitary retreat — it is peaceful, your reputation as a contemplative is well-established, you have earned this quiet, and returning to community means dealing with other people's problems.",prudence,"Augustine, City of God XIX.19"
"You invite public comment on your proposed law and revise it based on objections, even though the revisions weaken your original vision and your opponents claim credit for the changes.","You push the law through immediately — you have the votes, the opposition is disorganized, public comment will only introduce delays and compromises, and the law will never be as strong as it is in its current form.",prudence,"Aquinas, ST II-II Q.50 a.1"
"You match each sister's tasks to her abilities, which requires knowing each one individually and leads to accusations of favoritism from those who get less desirable assignments.","You rotate all duties equally by strict schedule — it is transparently fair, no one can accuse you of favoritism, it requires no personal judgment, and the system runs itself.",prudence,"Aquinas, ST II-II Q.47 a.6"
"You prepare for a storm based on the morning sky, spending hours securing the deck while your companions relax and mock your superstition.","You ignore the sign and press on — the sky is often red without a storm following, you are only hours from port and your wages, and your crewmates will never let you forget it if you delayed for nothing.",prudence,"Aquinas, ST II-II Q.49 a.1"
"You spend days investigating each potential partner's character and track record before committing, missing out on the more exciting opportunity that requires an immediate decision.","You join the partnership that promises the highest returns — the partner is well-connected, the opportunity is time-sensitive, and the people who get rich are the ones who act fast, not the ones who deliberate.",prudence,"Ambrose, De Officiis I.25"
"You raise funds gradually over years, testing your congregation's patience and watching neighboring parishes build grand new buildings while yours remains cramped.","You borrow the full amount at once — the parish needs the space now, the congregation is enthusiastic and donations will surely increase to cover the payments, and delay means losing families to the parish across town that already expanded.",prudence,"Aquinas, ST II-II Q.47 a.1"
"You restrain your troops from pursuing the fleeing enemy into unknown terrain, enduring their frustration and the accusation that you let victory slip away.","You send your troops in pursuit — the enemy is broken, total destruction will end the war, your soldiers are hungry for the kill, and the histories remember generals who pursued, not those who held back.",prudence,"Aquinas, ST II-II Q.48 a.1"
"You publish a correction to your own work, enduring the embarrassment and giving your critics ammunition they will use against you for years.","You leave the error in place — it is buried in a minor section, no one has noticed yet, and a public correction will undermine confidence in the rest of your work which is sound.",prudence,"Augustine, Retractationes Prol."
"You consider carefully whether you have the skills and virtue for the role, and ultimately decline, knowing others will call you a coward or say you lacked ambition.","You accept immediately — the position comes with enormous influence and prestige, declining would be foolish, and you can grow into the role. No one ever became powerful by turning down power.",prudence,"Aquinas, ST II-II Q.47 a.8"
"You make decisions that benefit the young prince's future reign, even though enriching your own family now would be easy and no one would know until the prince is old enough to question it.","You use your temporary authority to secure your family's future — you have served faithfully, the prince is too young to notice, the treasury is vast, and your family has sacrificed for years while you governed for another's benefit.",prudence,"Augustine, City of God V.19"
"You assign progressively harder tasks as apprentices demonstrate mastery, even though production is slow and clients complain about delivery times.","You put apprentices on production work immediately — output doubles, clients are happy, revenue increases, and the apprentices will learn on the job just as you did.",prudence,"Aquinas, ST II-II Q.49 a.3"
"You investigate each request for alms carefully, giving to those in genuine need, even though the process is slow and supplicants accuse you of being heartless.","You give to whoever asks most persistently — it is faster, you appear generous, the persistent ones are clearly the most desperate, and scrutinizing the poor feels beneath your station.",prudence,"Ambrose, De Officiis I.30"
"You pause before making the vow and decide not to promise what you cannot sustain, looking hesitant and uncommitted in front of those who expected grand declarations.","You make a dramatic vow that moves the entire assembly to tears — the moment is perfect, your reputation soars, everyone admires your passion, and you can worry about keeping it later.",prudence,"Augustine, Confessions VIII.11"
"You consider the lawmakers' original intent and the specific circumstances, reaching a decision that is more complex to justify but more equitable.","You apply the most literal reading — it is faster, easier to defend on appeal, requires no subjective judgment, and anyone who disagrees with the outcome can blame the lawmakers rather than you.",prudence,"Aquinas, ST II-II Q.47 a.6"
"You propose a measured, proportional response to the border provocation, even though the generals call you timid and the public wants a show of force.","You propose an overwhelming military response — it will deter future provocations, the military is eager, your popularity will surge, and the cost is borne by soldiers who signed up for exactly this.",prudence,"Aquinas, ST II-II Q.50 a.4"
"You remove the diseased vines immediately, reducing this year's harvest by a third and making it difficult to meet your contracts.","You leave the diseased vines in place — only a few are affected, this year's harvest is already committed to buyers, and the blight may not spread. Removing them now means certain financial loss versus possible future loss.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You patiently correct the student's bad habits before advancing him, even though a rival school is already showcasing its students publicly and drawing attention.","You rush the talented student into public speaking now — his raw talent will dazzle audiences, your school gains instant prestige, enrollment will increase, and you can fix the bad habits later when there is time.",prudence,"Augustine, Confessions III.4"
"You explain the new rule's purpose to the brothers before implementing it, a process that takes weeks and invites pushback from those who disagree.","You impose the rule immediately without discussion — the bishop ordered it, debate only breeds disobedience, and swift implementation shows your authority and discipline.",prudence,"Aquinas, ST II-II Q.47 a.1"
"You send an agent to study the market first, spending months and money on reconnaissance while competitors are already setting up shop.","You invest your capital now — the rumors are compelling, the first movers will capture the best locations, and excessive caution is what separates the rich from the merely comfortable.",prudence,"Aquinas, ST II-II Q.49 a.1"
"You adjust your approach to include more reasoning and dialogue with your adolescent daughter, which takes far more energy than simple commands and often ends in exhausting conversations.","You double down on strict rules — your authority must be maintained, adolescent rebellion is a phase that firmness cures, you do not have time for negotiations, and your own parents never explained themselves to you.",prudence,"Augustine, Confessions I.8"
"You govern with initial moderation, listening to each faction's grievances over months, appearing indecisive while your courtiers urge swift action.","You impose sweeping reforms immediately according to your vision — the old regime was corrupt, the people expect change, bold action inspires confidence, and compromise is what destroyed the last ruler.",prudence,"Aquinas, ST II-II Q.50 a.1"
"You mark the error for the librarian's attention rather than correcting it yourself, slowing your work and potentially embarrassing the original author or the librarian.","You silently correct it according to your own understanding — you are confident in the correction, flagging it creates unnecessary work for the librarian, and no one will know the difference.",prudence,"Aquinas, ST II-II Q.47 a.3"
"You propose discussing the matter calmly in the evening after both have had time to reflect, even though your wife interprets the delay as indifference and the children's situation needs addressing soon.","You insist on your view now — you are clearly right, delay only prolongs the children's confusion, your wife will come around once she sees the logic, and decisiveness is what a family needs from its head.",prudence,"Augustine, Confessions IX.9"
"You visit the land and examine old records before deciding, a process that takes weeks while both claimants grow increasingly hostile and accuse you of incompetence.","You decide quickly in favor of the claimant who offered you a gift of appreciation — both claims seem roughly equal anyway, a quick resolution serves everyone, and the grateful claimant will be a useful ally.",prudence,"Ambrose, De Officiis I.24"
"You decline the investment that seems too profitable to be honest, watching as neighbors who invested report spectacular early returns and pity your timidity.","You invest eagerly — the returns are extraordinary, everyone else is making money, the opportunity will not wait, and your caution is costing your family a fortune.",prudence,"Aquinas, ST II-II Q.47 a.7"
"You secure your supply lines before committing to the siege, a delay that allows the city to further fortify and gives your political enemies time to question your competence.","You commit your forces immediately — surprise and momentum are everything in siege warfare, the city's defenses are incomplete, your army is at peak strength now, and the politicians back home want results, not preparations.",prudence,"Aquinas, ST II-II Q.48 a.1"
"You select the guardian of proven character over your wealthiest relative, even though the wealthy relative is offended and threatens to cut your family off from his resources.","You select your wealthiest relative — money is the greatest protection children can have, your other choice is virtuous but poor, and your children will grow up with every advantage wealth provides.",prudence,"Ambrose, De Officiis I.25"
"You resist pressing for additional concessions and close the deal, even though your allies insist you have leverage for more and will call the agreement a sellout.","You press for more — the other party is clearly eager to close, every additional concession goes directly to your people's benefit, and a reputation for extracting maximum terms serves you in future negotiations.",prudence,"Aquinas, ST II-II Q.47 a.6"
"You acknowledge where the evidence is ambiguous, which critics will use to dismiss your entire argument and which makes your work less likely to be cited.","You assert certainty on every point — confident scholarship commands more attention, journals prefer clear conclusions, ambiguity makes your work look incomplete, and your conclusions are probably right anyway.",prudence,"Augustine, De Trinitate I.3"
"You make only necessary decisions and defer major changes until the lord returns, even though you see obvious improvements that could be made and the servants expect leadership.","You make the improvements you see — you know the estate better than anyone, the lord will be pleased with the results when he returns, the servants respect a decisive steward, and waiting wastes months of potential progress.",prudence,"Aquinas, ST II-II Q.47 a.1"
"You teach your son to respond to bullying with both firmness and restraint, a nuanced approach that takes many conversations and does not give him the immediate satisfaction of striking back.","You tell him to fight back hard — bullies only respect strength, your son needs to learn to stand up for himself, the other parents will not intervene, and one decisive confrontation will end the problem for good.",prudence,"Augustine, Confessions I.19"
"You read the writings of both parties carefully before convening a discussion, even though the process takes months and both sides accuse you of indecision and secretly favoring the other.","You decide the matter based on which party has broader political support — the winning side will implement the decision peacefully, the losing side is too small to cause real trouble, and theological niceties matter less than unity.",prudence,"Ambrose, De Fide I.1"
"You reflect honestly on what went wrong in the treatment and adjust your approach, a painful admission that challenges your professional self-image.","You attribute the failure to the patient's noncompliance — there was nothing wrong with your treatment plan, the patient did not follow instructions, and revisiting your methods would only undermine your confidence.",prudence,"Aquinas, ST II-II Q.47 a.3"
"You reopen the case based on new evidence, even though it undermines your original judgment, your colleagues will see it as weakness, and the losing party's lawyers will use it as precedent.","You refuse to reopen the case — the matter is settled, your authority depends on the finality of your rulings, reopening one case invites challenges to every case you have ever decided, and the new evidence is probably not that significant.",prudence,"Augustine, Retractationes Prol."
"You stop construction to investigate the cracks, losing a week of progress and incurring costs for the idle workers.","You plaster over the cracks and continue building — the deadline is next month, idle workers cost money, the cracks are probably just cosmetic settling, and you have never had a structural failure before.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You honestly assess whether you can take on more responsibilities, and decline some, knowing the other sisters will see you as lazy or uncommitted.","You accept everything offered — saying yes is what zealous nuns do, your superior clearly thinks you are capable, and turning down work looks like you do not care about the community.",prudence,"Aquinas, ST II-II Q.47 a.8"
"You calculate whether your forces are sufficient and the cause is just before committing to war, a process your generals find agonizingly slow while the enemy consolidates.","You march to war now — the army is ready, the cause is popular, delay only strengthens the enemy, the treasury can bear the cost, and the kingdom has not lost a war in a generation. Fortune favors the bold.",prudence,"Aquinas, ST II-II Q.50 a.4"
"You recommend your surpassed apprentice to better masters, losing your most profitable worker and the client relationships he has built for you.","You keep the apprentice working for you — he is more valuable than ever, his talent brings in premium clients, and sending him to another master is simply giving away your best asset.",prudence,"Ambrose, De Officiis I.25"
"You agree to postpone the vote until more information is gathered, even though your faction has the votes to win today and delay may shift the balance.","You force the immediate vote — your side has the majority right now, delay only gives the opposition time to organize, and decisive governance means acting when you have the advantage.",prudence,"Aquinas, ST II-II Q.47 a.8"
"You improve your own goods rather than attacking the competitor, a slow and expensive process with uncertain results.","You spread rumors about the competitor — it costs nothing, protects your market share immediately, everyone does it, and the competitor would do the same to you without hesitation.",prudence,"Ambrose, De Officiis I.25"
"You tailor your counsel to the person's actual situation, a time-consuming approach that means seeing fewer penitents per day.","You deliver your standard counsel — it covers the most common issues, it is theologically sound, you can see more people in a day, and most problems are really the same problem dressed differently.",prudence,"Aquinas, ST II-II Q.47 a.6"
"You quietly increase the watch without alarming citizens, even though a visible security presence would deter more crime and demonstrate your diligence to the council.","You announce a massive security operation publicly — it shows you are proactive, the visible presence deters criminals, the council sees you spending their money on safety, and if something goes wrong, no one can say you did not warn them.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You assign the prince readings in history including the failures and disasters of past rulers, even though the king objects that his son should learn to be proud of his lineage rather than dwelling on others' mistakes.","You teach only the glorious achievements of the prince's ancestors — the king is pleased, the prince is inspired, and confidence is the most important quality in a ruler. Studying failure breeds timidity.",prudence,"Augustine, City of God V.12"
"You take a full day to reflect and pray before committing, even though the opportunity may be gone by tomorrow and your friends urge you to act now before someone else does.","You act on your strong first impulse — your instincts are usually right, delay has cost you opportunities before, the situation is clear enough, and overthinking is the enemy of achievement.",prudence,"Augustine, Confessions VIII.8"
"You use the strongest timber available, which costs more and takes longer to work, even though your client is already complaining about the price and the schedule.","You use the cheaper timber — your client is paying for a voyage, not a monument, the ship only needs to last a few years, no one will ever know the difference, and you can use the savings to take on another commission.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You teach your children to think through consequences, a slow process that leaves them making mistakes other children do not make because those children simply follow orders.","You issue clear rules without explanation — the children obey, the household runs smoothly, discipline is maintained, and children learn best by doing what they are told. They will understand the reasons when they are older.",prudence,"Augustine, Confessions I.14"
"You find a private moment to speak candidly to the king, knowing that without a public audience your words may carry less weight and the flatterers will continue unchecked.","You publicly contradict the flatterers in front of the court — the truth must be heard, the court needs to see that someone will stand against the sycophants, and dramatic gestures are what people remember.",prudence,"Ambrose, De Officiis I.24"
"You reduce expenditures proportionally across all functions including popular ones, making every department angry but keeping the hospice for the poor open.","You cut the hospice for the poor — its beneficiaries have no voice in the community, the savings are significant, the other functions serve the donors who keep the monastery running, and you can restore the hospice when donations recover.",prudence,"Ambrose, De Nabuthe 1"
"You verify the intelligence before attacking, even though the delay may allow the enemy to recover and the opportunity appears to be slipping away by the hour.","You attack immediately — intelligence confirms the enemy is weakened, opportunities like this do not last, your troops are positioned and eager, and the general who hesitated while the enemy regrouped is the one the histories mock.",prudence,"Aquinas, ST II-II Q.48 a.1"
"You ask a trusted colleague to review your thesis for errors, risking hearing that your central argument has a flaw that requires months of additional work.","You publish without external review — you know the material better than anyone, the publication deadline is soon, showing the work to a competitor risks having your ideas stolen, and any minor errors can be addressed in a second edition.",prudence,"Augustine, De Trinitate I.3"
"You recognize the limits of your skill and send for a physician, admitting to the family that the birth is beyond your ability, knowing they may never hire you again.","You continue managing the birth yourself — you have handled difficult cases before, sending for help will panic the family, the physician may not arrive in time anyway, and admitting you cannot handle it will destroy your livelihood.",prudence,"Aquinas, ST II-II Q.47 a.3"
"You restrain yourself from taking from the treasury, even though you live modestly while those who hold less power enjoy far greater luxuries.","You take what you need from the treasury — you bear the burdens of rule, your peers live lavishly, a ruler who appears poor appears weak, and the treasury is vast enough that your modest withdrawals will never be noticed.",prudence,"Augustine, City of God V.19"
"You speak honestly with your superior about your doubts, risking disappointment and the possibility of being told to leave.","You take final vows to avoid the shame of leaving — everyone expects it, your family has sacrificed for your vocation, the doubts will probably pass, and leaving now means admitting the last several years were wasted.",prudence,"Augustine, Confessions VIII.11"
"You suspend judgment until you can verify the facts, frustrating both friends who each want your immediate support.","You believe the friend you know better — loyalty means something, his track record is more trustworthy, choosing quickly shows decisiveness, and sitting on the fence pleases no one.",prudence,"Aquinas, ST II-II Q.47 a.7"
"You prepare enough food plus a reasonable surplus, even though the guests may think the lord is being stingy compared to last year's lavish feast.","You prepare a vast excess of food — the lord's reputation depends on abundance, guests judge a household by its table, the cost comes from the lord's purse not yours, and leftover food can always be used somehow.",prudence,"Ambrose, De Officiis I.28"
"You try a different teaching approach for the struggling student, investing additional preparation time while your other students receive less attention.","You fail the student — your method works for everyone else, one student's inability should not consume resources meant for the class, and some people simply cannot learn this material.",prudence,"Augustine, De Catechizandis Rudibus 12"
"You commission an engineering assessment before building the bridge, delaying the project by months while citizens use the old, dangerous ford and your political opponents blame you for inaction.","You begin construction at the most convenient site immediately — the town has needed this bridge for years, every day of delay costs commerce, the site looks solid enough, and your predecessor was removed precisely for studying problems instead of solving them.",prudence,"Aquinas, ST II-II Q.49 a.7"
"You wait until your anger subsides before raising the matter with your wife, even though by then the moment has passed and she may not understand why you are bringing up something from yesterday.","You confront her now while the issue is fresh — delay looks like you do not care, the offense deserves an immediate response, you have a right to express your feelings, and keeping things bottled up is unhealthy.",prudence,"Augustine, Confessions IX.9"
"You implement the reform gradually over several months, even though partial implementation creates confusion and your critics accuse you of half-measures.","You impose all changes at once — a clean break is easier to understand, gradual change prolongs disruption, the brothers will adapt faster if they have no choice, and bold leadership means committing fully.",prudence,"Aquinas, ST II-II Q.47 a.6"
"You read every clause of the contract carefully, even though your partner is visibly annoyed by the delay and suggests your thoroughness implies distrust.","You sign quickly — your partner is trustworthy, the clauses are standard, reading everything signals distrust that could damage the relationship, and business moves at the speed of trust.",prudence,"Aquinas, ST II-II Q.47 a.7"
"You take time to observe the suitor's behavior toward others, delaying your answer while he grows impatient and other women show interest in him.","You agree to remarry quickly — he speaks beautifully, your children need a father, your financial situation is precarious, and a good man will not wait forever while you conduct an investigation.",prudence,"Ambrose, De Viduis 11"
"You maintain discipline and order in the retreat, even though an orderly withdrawal is slower and your men beg you to let them scatter and save themselves.","You let the men scatter — a slow, ordered retreat will get everyone killed, individual soldiers can move faster, some will escape who would otherwise die in formation, and saving some is better than losing all.",prudence,"Aquinas, ST II-II Q.48 a.1"
"You spend years studying law and governance before seeking office, watching less prepared but more ambitious peers win the positions you want.","You seek office immediately — your family name opens doors, you learn faster by doing than by studying, the positions available now may not be available later, and the public votes for charisma, not credentials.",prudence,"Aquinas, ST II-II Q.49 a.3"
"You refuse to prescribe the drug and recommend a slower treatment, knowing the patient is frustrated, may seek another physician, and will tell others you denied him relief.","You prescribe the drug for immediate relief — the patient is suffering now, the long-term risks are probabilistic, the patient may not live long enough for them to matter, and a satisfied patient is a patient who returns and refers others.",prudence,"Aquinas, ST II-II Q.47 a.1"
"You visit several schools and speak with teachers before choosing, even though the enrollment deadline for the best school is approaching and a spot may not be available if you wait.","You enroll your daughter in the most prestigious school immediately — the name on the transcript matters more than anything, the best students go there, spots fill fast, and you can always transfer later if it is not working.",prudence,"Augustine, De Catechizandis Rudibus 12"
"You address the tension between the two monks privately before it escalates, even though the conversation is uncomfortable and both may resent your interference.","You ignore the tension — monks should resolve their own disputes, intervening makes you look meddlesome, the tension may resolve naturally, and you have more pressing duties than managing interpersonal conflicts.",prudence,"Ambrose, De Officiis I.24"
