scenario_a,scenario_b,virtue,source
"You remain in the besieged city to tend the wounded, even though the last evacuation convoy is leaving and you may never get another chance to escape.","You evacuate — your medical skills are rare and valuable, dying in a siege wastes your training, you can treat many more people from safety, and the wounded will be cared for by the conquering army's own doctors.",courage,"Ambrose, De Officiis I.36"
"You refuse the advantageous but morally compromising marriage, enduring your family's fury and the prospect of diminished circumstances for years to come.","You accept the marriage — your family's welfare depends on it, the moral compromise is minor and private, every marriage requires some accommodation, and your objections are idealistic rather than practical.",courage,"Ambrose, De Virginibus I.10"
"You refuse the order to execute prisoners of war, accepting the personal consequences from the emperor.","You carry out the order — the emperor's authority is absolute, refusing means your own execution and your family's ruin, the prisoners would die anyway under a less merciful executor, and your sacrifice changes nothing.",courage,"Augustine, City of God I.22"
"You publicly acknowledge a fundamental error in your life's work, knowing your critics will use it to discredit everything else you have written.","You suppress the discovery — the error is in a minor section, the broader work is sound, a public correction will overshadow decades of good scholarship, and your critics will seize on it regardless of its actual significance.",courage,"Augustine, Retractationes Prol."
"You continue distributing food in the war zone, knowing that yesterday a shell landed near the distribution point and tomorrow could be worse.","You stop distribution until the fighting subsides — your volunteers are terrified, continuing puts them at risk, the food can be stockpiled for distribution when it is safe, and dead aid workers cannot feed anyone.",courage,"Ambrose, De Officiis I.36"
"You continue your duties and arrange your affairs with composure after a terminal diagnosis, even though you are terrified inside.","You collapse into grief — you are dying, pretending to be composed is dishonest, your family should see your real feelings, the duties can wait or be delegated, and facing death with fake stoicism helps no one.",courage,"Augustine, City of God I.11"
"You bind your wound and return to the fight because your comrades still need you, even though the wound is painful and the medical station is right behind you.","You go to the medical station — the wound could worsen without treatment, fighting while injured risks making mistakes that endanger your comrades, you have already done your part, and the medics say you should come in.",courage,"Aquinas, ST II-II Q.123 a.5"
"You refuse imprisonment peacefully and accept the consequences, even though civil authorities have the power to destroy everything your community has built.","You comply and abandon the convent — the community can reform elsewhere, physical buildings are not sacred, resistance invites destruction, and survival requires flexibility. The convent is stones; the community is people.",courage,"Augustine, City of God I.22"
"You take on menial work without shame to provide for your family, even though your former peers will see you and your reputation will never recover.","You refuse the menial work — your skills deserve better, accepting degrading work permanently lowers your prospects, your family would rather go hungry temporarily than see you humiliated, and something appropriate will come along.",courage,"Ambrose, De Officiis I.36"
"You bear the mockery of your former friends with patience and continue in your new convictions, even though the isolation is crushing.","You return to your old ways — the friendships are worth more than abstract beliefs, your conversion was hasty, the mockery reveals how impractical your new beliefs are, and belonging to a community matters more than being right.",courage,"Augustine, Confessions VIII.2"
"You maintain your watch through the bitter winter nights, alone and freezing, even though no one would know if you left for an hour to warm yourself.","You leave your post briefly — no attack has come in weeks, an hour's absence harms no one, you will return before dawn, freezing to death at your post serves no purpose, and a sentry who cannot feel his hands is useless anyway.",courage,"Aquinas, ST II-II Q.123 a.6"
"You rush to intervene when you hear screams from the neighbor's house, even though you are alone and do not know what you will find.","You lock your door — it could be a domestic dispute where intervention makes things worse, calling for help is smarter than running in alone, you could be hurt or killed, and getting involved in other people's violence is how bystanders die.",courage,"Ambrose, De Officiis I.36"
"You excommunicate the corrupt official despite knowing he will retaliate against the church and its members.","You look the other way — confrontation will hurt your flock more than the official, you can work against him quietly, excommunication is a nuclear option that invites war, and the official's power will fade in time.",courage,"Ambrose, Ep. 51 (to Theodosius)"
"You pick yourself up after being robbed and continue your journey to fulfill your obligations, with nothing but the clothes on your back.","You turn back — you have no money, no goods, the journey is now pointless, your clients will understand, continuing penniless through dangerous territory is reckless, and you can reschedule when you have the means.",courage,"Aquinas, ST II-II Q.128 a.1"
"You endure harsh captivity without revealing military information, even though you know your comrades may already have moved and the information is becoming stale.","You reveal the information — it is probably outdated, your comrades have surely repositioned, continued resistance brings only pain, your captors will find out anyway, and no one would blame you for talking under these conditions.",courage,"Aquinas, ST II-II Q.124 a.1"
"You travel to the hostile territory to preach, knowing the last three people sent there did not return.","You refuse the assignment — three predecessors died, the people there do not want to hear from you, a live preacher in a safe posting reaches more people over a career, and the church cannot afford to lose more leaders to futile missions.",courage,"Augustine, City of God XXII.8"
"You uphold the unpopular but just ruling despite the crowd's anger, stones hitting your windows, and your family begging you to reverse it.","You reverse the ruling — the crowd's anger signals a genuine popular sense of justice, judges must consider public sentiment, your family's safety matters, and a ruling that provokes riots does more harm than the injustice it corrects.",courage,"Aquinas, ST II-II Q.123 a.1"
"You begin rebuilding your destroyed workshop the next day, even though you have no savings, no insurance, and your competitors are already absorbing your customers.","You accept the loss — rebuilding with no capital is fantasy, your competitors will never give the customers back, starting from nothing at your age is unrealistic, and the sensible path is to work for someone else.",courage,"Aquinas, ST II-II Q.128 a.1"
"You maintain your inner dignity and composure after capture, even though your captors try to make you feel that you are worth nothing.","You accept their estimation — resistance only provokes worse treatment, appearing broken may earn mercy, survival means playing along, and maintaining defiance in a situation you cannot change is pointless stubbornness.",courage,"Augustine, City of God I.16"
"You grieve deeply but continue fulfilling your duties to your remaining family and community after your son's death in battle.","You withdraw from all responsibility — you have given enough, your grief is too heavy for duties, your remaining children are old enough to manage, and a father who has lost a son has earned the right to collapse.",courage,"Augustine, City of God I.11"
"You refuse the dishonorable escape from the dangerous assignment, choosing to face the danger honestly.","You take the dishonorable escape — no one will know, the assignment is suicidal, your death serves no purpose, and honor is an abstraction that your family cannot eat.",courage,"Aquinas, ST II-II Q.123 a.5"
"You take your case to court against the powerful neighbor despite knowing the odds are stacked against you and the legal fees may ruin you.","You surrender the land — the powerful neighbor has unlimited resources for litigation, fighting him will bankrupt you, your children need food more than they need a house, and the world is not fair to those without power.",courage,"Ambrose, De Nabuthe 1"
"You persevere in prayer and penance despite despair over your sins, even though the despair whispers that you are beyond redemption.","You stop trying — if redemption were possible you would have felt it by now, continuing to pray into silence is self-deception, accepting your nature is more honest than pretending it can change, and the despair may be telling you the truth.",courage,"Augustine, Confessions VIII.11"
"You enter the ward of dying soldiers with infectious wounds, maintaining your composure and your care despite the stench and the certainty that you are risking your own life.","You refuse to enter — the soldiers will die regardless of your presence, your own life has value, sending assistants is reasonable, and a nurse who contracts the infection becomes another patient rather than another caregiver.",courage,"Ambrose, De Officiis I.36"
"You speak truth to the emperor despite your inexperience and the vast disparity in your positions, knowing a single word from him could destroy you.","You stay silent until you are more established — a new bishop has no political capital, the emperor will crush you and forget about it, building relationships first means your words will carry weight later, and speaking truth too soon is just getting yourself killed.",courage,"Ambrose, Ep. 51 (to Theodosius)"
"You continue working the rigging during the violent storm, even though a wave just swept a crewmate overboard and you are next in the exposed position.","You go below decks — staying topside in this storm is suicide, the rigging can be lashed down, the ship will survive on its own if it is going to survive at all, and a drowned sailor helps no one.",courage,"Aquinas, ST II-II Q.123 a.6"
"You endure the long painful illness without becoming bitter or abusive toward those who care for you, even though the pain erodes every shred of patience you have.","You let your frustration show — you are suffering and pretending otherwise is dishonest, your caregivers are adults who can handle your moods, suppressing your feelings worsens your health, and no one can be pleasant through this much pain.",courage,"Augustine, City of God I.11"
"You refuse to hand over the sacred vessels and submit to punishment, even though your family depends on your income and the magistrate offers to forget the matter if you simply comply.","You hand them over — the vessels are objects, your family's survival matters more, the magistrate will take them by force anyway, and your punishment changes nothing except making your children fatherless.",courage,"Ambrose, De Officiis I.41"
"You maintain composure and make clear-headed decisions about your gravely ill child's care, even though panic is screaming inside you.","You let the panic take over — your child may be dying and emotions are natural, the doctors should make the decisions, you cannot think clearly and pretending you can may lead to worse choices, and suppressing your feelings harms you.",courage,"Augustine, Confessions IX.11"
"You refuse to join your companions in cruelty against a weaker person, even though it costs you every friendship you have and marks you as a target yourself.","You participate — one incident does not define you, the victim will recover, standing alone against the group invites the same treatment, your friendships are essential to your survival, and you can make it up to the victim privately later.",courage,"Augustine, Confessions II.9"
"You continue teaching your students during the siege, maintaining normalcy in impossible circumstances, even though you could flee and save yourself.","You flee — the city will fall, your students' parents should have evacuated them, teaching during a siege is absurd, and you can establish a school in safety where your teaching actually matters.",courage,"Augustine, City of God I.10"
"You maintain your faith through years of imprisonment, ministering to fellow prisoners even though cooperation with your captors would secure your release.","You cooperate — years of suffering are enough, you can do more good free than imprisoned, the faith survives in the heart not in the cell, and your fellow prisoners would tell you to go if they could.",courage,"Augustine, City of God I.9"
"You tell your troops honestly that the coming battle will be difficult and many may die, even though your officers urge you to minimize the danger to keep morale high.","You downplay the danger — morale wins battles, soldiers who expect to die fight poorly, the reality will become clear soon enough, and every successful commander has managed the truth to maintain his army's fighting spirit.",courage,"Aquinas, ST II-II Q.123 a.1"
"You bear the public humiliation with composure and continue living virtuously, even though every day people whisper about your past and it never gets easier.","You let the shame define you — they are right about what you did, pretending you have moved past it is arrogant, you do not deserve to live as though it never happened, and withdrawal is more honest than performing rehabilitation.",courage,"Augustine, City of God I.19"
"You continue preaching against the warlords' violence despite the death threats, even though last month they killed the priest in the next village.","You switch to safer topics — a living priest helps his community more than a dead martyr, the violence is a political problem not a spiritual one, your congregation needs you alive, and the warlords will fall eventually without your help.",courage,"Ambrose, Ep. 51 (to Theodosius)"
"You fight on with whatever is at hand after being unhorsed and disarmed, even though yielding would preserve your life.","You yield — the battle is lost, further fighting is suicide, a living knight can serve again, your family needs you, and there is no dishonor in yielding to overwhelming force.",courage,"Aquinas, ST II-II Q.123 a.5"
"You endure the pain of childbirth with fortitude, focused on the life coming into the world, even though the pain is beyond anything you imagined.","You demand the process be stopped — modern options exist, enduring unnecessary pain is not virtue but stubbornness, your suffering benefits no one, and you were not told it would be this bad.",courage,"Aquinas, ST II-II Q.123 a.1"
"You volunteer for rearguard duty to protect the retreating wounded, even though at your age a retreat is likely a death sentence.","You take the opportunity to retire — you have served honorably for decades, the army has younger men for rearguards, your family has waited long enough, and dying in a rearguard action at your age is waste not valor.",courage,"Aquinas, ST II-II Q.123 a.6"
"You begin preparing for the next planting immediately after the drought destroys your crop, even though the soil is dust, you have no seed money, and your neighbors have given up.","You abandon the land — the drought may continue, you have no money for seed, the soil needs years to recover, migrating to the city gives your family immediate income, and farming in these conditions is gambling with your children's future.",courage,"Aquinas, ST II-II Q.128 a.1"
"You enter the desert hermitage despite your fear, trusting that your fears can be overcome through the discipline of solitary practice.","You return to the city — the stories of what happens in the desert are terrifying, your fear is a signal not a weakness, God does not require you to suffer needlessly, and a comfortable ministry in the city serves just as many people.",courage,"Augustine, Confessions VIII.8"
"You continue teaching the unpopular truth despite the threat to your position, even though your family depends on your salary.","You teach what keeps you employed — your family's welfare comes first, the truth will survive without your career martyrdom, you can write anonymously, and a professor without a chair has no students to teach.",courage,"Augustine, Confessions VII.9"
"You continue directing the battle from where you have fallen, even though the pain is overwhelming and your officers beg you to let them carry you to safety.","You let them carry you to the rear — you are a distraction at the front, your officers are competent, directing through a haze of pain leads to bad decisions, and the army needs you alive for the next battle.",courage,"Aquinas, ST II-II Q.123 a.5"
"You manage the household and raise your children alone after being abandoned, refusing to collapse even though the weight is crushing.","You leave the children with relatives — a single parent cannot provide what two could, the children deserve stability you cannot give, your relatives are willing and able, and martyring yourself helps no one.",courage,"Ambrose, De Viduis 4"
"You overcome your fear and tend the lepers with gentleness, even though your hands shake and every instinct screams to leave.","You refuse and demand reassignment — the fear of contagion is rational, you did not volunteer for this, others have natural immunity that you may lack, and forcing yourself to serve through terror will result in poor care.",courage,"Ambrose, De Officiis I.36"
"You use your time in false imprisonment to study and pray, maintaining your spirit despite the crushing injustice.","You let bitterness consume you — you are innocent and the world is unjust, maintaining a positive spirit validates the system that imprisoned you, anger is the honest response, and pretending to be at peace is denial.",courage,"Augustine, City of God I.8"
"You ensure all passengers are in the boats before taking the last place yourself, even though the ship is going down fast and there may not be time.","You take the first available boat — a dead captain saves no one, your experience is needed to navigate the boats to safety, someone must lead the survivors, and going down with the ship is romantic nonsense.",courage,"Ambrose, De Officiis I.36"
"You decline the offer of wealth and comfort, staying with your persecuted community to share their hardship.","You accept — you can do more for the community from a position of safety and wealth, sending money back helps more than sharing their suffering, your talents are wasted in persecution, and the community would want you to prosper.",courage,"Augustine, City of God I.9"
"You calmly organize your household's provisions and defenses as invaders approach, even though your hands are shaking and your children are crying.","You panic and flee — the invaders are ruthless, organizing defenses is fantasy, your only duty is to get your children to safety, and staying to defend a house while your children could be running is irresponsible.",courage,"Aquinas, ST II-II Q.123 a.1"
"You refuse to recant the truth you testified to, going to your execution with composure.","You recant — the truth you told has already been recorded, your death changes nothing, your family needs you alive, the authorities will continue regardless, and dying for a statement when you could live is not courage but pride.",courage,"Augustine, City of God I.22"
"You press on through bandits, hunger, and harsh weather without turning back, because your purpose sustains you.","You turn back — the conditions are worse than expected, continuing risks death, the destination will still be there when conditions improve, and no purpose is served by dying on the road.",courage,"Aquinas, ST II-II Q.128 a.1"
"You choose the harder path your conscience demands, leaving behind the comfortable old life and the people who love you in it.","You stay in your comfortable life — the inner conflict will fade, your obligations to those who depend on you are real while the new path is uncertain, comfort is not sin, and tearing your life apart based on a feeling is reckless.",courage,"Augustine, Confessions VIII.7"
"You refuse the unjust order and accept dismissal, even though you have no savings and no prospect of other employment.","You obey — the order is not that unjust, your master will answer for it, your family needs your income, servants who refuse orders end up on the street, and you can look for other work quietly while keeping your position.",courage,"Aquinas, ST II-II Q.123 a.1"
"You endure exile with grace, bearing the loss of everything familiar for the sake of your family's safety.","You stay despite the danger — exile is worse than death, losing your homeland means losing your identity, the danger may be exaggerated, and your ancestors built everything you would be abandoning.",courage,"Augustine, City of God I.10"
"You continue treating patients through your exhaustion, even though you are making small errors and your own health is deteriorating.","You rest — an exhausted physician makes dangerous mistakes, your patients deserve someone alert, burning yourself out means no doctor for anyone, and there are limits to what any human body can sustain.",courage,"Ambrose, De Officiis I.36"
"You tell the truth about the powerful criminal in court, despite threats against your family.","You lie — the criminal will carry out his threats, the authorities cannot protect your family, your testimony is one piece of evidence among many, and sacrificing your family for a court case is not justice but cruelty.",courage,"Aquinas, ST II-II Q.124 a.1"
"You refuse to name your innocent companions even under torture, enduring agony to protect them.","You name them — the torture will break you eventually, your companions would understand, the authorities already suspect them, you are not responsible for what is done under duress, and ending the pain lets you survive to help them later.",courage,"Augustine, City of God I.9"
"You pick yourself up after failing and attempt the task again, even though the failure was public and humiliating.","You accept that you cannot do it — the failure was definitive, continuing to try the same thing is insanity not persistence, your talents lie elsewhere, and accepting limitations is maturity.",courage,"Augustine, Confessions VIII.11"
"You volunteer for the rearguard knowing you will likely be the last to retreat and probably killed.","You avoid being chosen — everyone knows the rearguard is a death sentence, you have family depending on you, the commanders should rotate rearguard duty rather than asking for volunteers, and your life is not less valuable than anyone else's.",courage,"Aquinas, ST II-II Q.123 a.5"
"You open your door and stand between the angry mob and your neighbor, appealing to reason despite the danger.","You bolt your door — the mob is beyond reason, intervening will make you their next target, your own family is inside, your neighbor's dispute is not your responsibility, and one man cannot stop a mob.",courage,"Ambrose, De Officiis I.36"
"You continue contributing to your community despite chronic pain, adapting to what you can still do rather than withdrawing.","You withdraw — you have earned rest, the pain is all-consuming, forcing yourself to contribute when every movement hurts is not heroism but denial, and the community will manage without you.",courage,"Augustine, City of God I.11"
"You confide your struggles to your superior rather than fleeing, risking the vulnerability of admitting you are overwhelmed.","You flee in the night — admitting weakness means being judged, your superior will think less of you, you have already decided this life is not for you, and a clean break is kinder to everyone than a drawn-out negotiation.",courage,"Augustine, Confessions VIII.11"
"You stay with your patients during the plague rather than evacuating with the healthy citizens, even though your own children beg you to come home.","You evacuate — your children need their parent, one physician cannot stem a plague, your skills will be needed when the plague passes, and choosing strangers over your own family is not virtue but abandonment.",courage,"Ambrose, De Officiis I.36"
"You pour love into your surviving child rather than withdrawing from attachment, even though every moment of joy is shadowed by the terror of losing this one too.","You protect yourself emotionally — loving again after such loss invites unbearable pain, the child senses your fear anyway, maintaining distance lets you function, and a parent who collapses from grief a second time is worse than one who stays guarded.",courage,"Augustine, Confessions IX.11"
"You accept your new poverty with dignity and begin to rebuild, even though starting over at your age seems impossible and your former peers pretend not to know you.","You cannot move past the loss — everything you built is gone, the injustice is too great, starting over is a young person's game, and accepting poverty means accepting that your life's work meant nothing.",courage,"Augustine, City of God I.10"
"You organize the defense and distribution of food during the siege, staying with your people when everyone with means has already fled.","You flee to a safer place — your leadership skills are needed for the rebuilding that will follow, staying means certain death or capture, the city will fall regardless, and leading from safety preserves the institution for the future.",courage,"Ambrose, De Officiis I.41"
"You accept the correction publicly with humility and resolve to improve, even though your face burns and your classmates are watching.","You storm out — the teacher humiliated you in front of everyone, public correction is abusive not educational, you do not owe composure to someone who treated you that way, and there are other teachers.",courage,"Augustine, Confessions III.4"
"You set out alone through enemy territory with the urgent message because it must reach its destination and no one else will go.","You wait for volunteers — solo missions through enemy territory are suicidal, the message can wait for a safer opportunity, commanders should not ask individuals to take on impossible odds, and a captured messenger delivers nothing.",courage,"Aquinas, ST II-II Q.123 a.6"
"You resolve to live as fully as possible within your painful limitations, finding new purpose even as old capabilities fade.","You stop trying — the illness has taken everything that made life worth living, adapting to diminishment is just dignifying decline, you did not choose this and acceptance feels like surrender.",courage,"Augustine, City of God I.11"
"You choose baptism after honestly counting the cost of losing your family, knowing the severance will be permanent.","You defer indefinitely — the cost is too high right now, your family cannot be replaced, the inner conviction will keep, and you can be baptized when the circumstances are less devastating.",courage,"Augustine, Confessions VIII.7"
"You stay to evacuate the records and vessels during the raid, even though the flames are approaching and your escape route is narrowing.","You run — the records can be recopied, the vessels can be replaced, your life cannot, the building is about to collapse, and dying for objects is foolishness not fidelity.",courage,"Ambrose, De Officiis I.41"
"You rally your broken troops after the defeat, reorganizing them for the defense of the civilians behind you, even though your own spirit is as shattered as theirs.","You let the army scatter — the battle is lost, the troops are broken, further fighting only adds to the body count, the civilians should evacuate while there is time, and rallying a defeated army is how commanders add their own death to the casualty list.",courage,"Aquinas, ST II-II Q.123 a.5"
"You navigate the dangerous situation with calm resourcefulness, far from home and alone, even though every part of you wants to freeze or scream.","You freeze — the situation is beyond what anyone should handle alone, stillness may be safer than action, help may come if you wait, and forcing yourself to act when terrified leads to mistakes that make everything worse.",courage,"Aquinas, ST II-II Q.123 a.1"
"You position yourself between the intruders and your sleeping children, giving your family time to escape even though you are unarmed.","You slip out the back to get help — confronting armed intruders unarmed is foolish, getting killed in the hallway leaves your children with no parent, the authorities can respond faster, and an unarmed father is not a defense but a casualty.",courage,"Ambrose, De Officiis I.36"
"You continue enforcing the law against the syndicate despite the threats, arranging protection for your family rather than backing down.","You drop the case — the threats are credible, your family did not sign up for this danger, other magistrates can pursue the case, and a living judge who fights another day is more valuable than a dead one who proved a point.",courage,"Aquinas, ST II-II Q.123 a.1"
"You continue to speak your simple truth despite the visiting scholars' mockery, trusting that what you know has value even without their vocabulary.","You fall silent — they are clearly more knowledgeable, your contributions embarrass you, silence is wisdom when you are outmatched, and speaking up only invites more ridicule.",courage,"Augustine, Confessions III.4"
"You endure captivity with the resolve to find your separated children, maintaining hope despite having no information and no power.","You give up hope — the city has fallen, the children could be anywhere, maintaining hope in this situation is delusion, and accepting the loss is the only way to survive psychologically.",courage,"Augustine, City of God I.10"
"You accept the dangerous mission because the message may save lives, even though you are young, frightened, and have never traveled through enemy territory.","You refuse — you are too young and inexperienced, the mission requires someone more capable, accepting it out of guilt or pressure is how people get killed, and there must be someone better suited.",courage,"Ambrose, De Officiis I.36"
"You publish your findings despite your patron's threat to withdraw support, because the truth demands it.","You suppress the work — academic freedom is an ideal but your patron's support enables all your other research, one suppressed paper is a small price for years of continued funding, and you can publish anonymously later.",courage,"Augustine, Confessions VII.9"
"You throw the line to your swept-overboard crewmate and brace yourself, risking being dragged in by the weight.","You do not attempt the rescue — the seas are too rough, a line in these conditions will pull you both under, the crewmate may already be gone, and the other crew members need you aboard.",courage,"Aquinas, ST II-II Q.123 a.5"
"You plead your eviction case before the king's court despite never having spoken in such a setting, because your children's home depends on it.","You accept the eviction — the courts favor the powerful, legal costs will consume what little you have left, the king's court is no place for a widow, and you can find another home more easily than you can win against a lord.",courage,"Ambrose, De Nabuthe 1"
"You master your fear and fulfill your vigil duty at the remote shrine through the long dark night alone.","You abandon the post before midnight — no one will know, the vigil is symbolic not tactical, your fear is making you hear things, and a sleepless night of terror is not what this duty was meant to be.",courage,"Aquinas, ST II-II Q.123 a.6"
