scenario_a,scenario_b,virtue,source
"You fast as a discipline while eating enough to maintain health, even though the food in the refectory is unusually good this week and the other monks are enjoying it fully.","You eat well — the food will not keep, wasting good food is a sin of its own, fasting is for Lent not for Tuesdays, your body needs nourishment, and extreme discipline impresses no one but yourself.",temperance,"Aquinas, ST II-II Q.146 a.1"
"You take time to know the man's character before forming a deeper attachment, even though the connection feels electric and your friends tell you this kind of chemistry is rare.","You follow the chemistry — this intensity of feeling comes once in a lifetime, overthinking kills romance, his character will reveal itself naturally, and the people who analyze love never experience it fully.",temperance,"Augustine, Confessions III.1"
"You resume the rhythms of domestic life after the campaign, even though home feels unbearably dull and you miss the intensity of the field.","You seek the next adventure — domestic life is a slow death for someone who has tasted real living, your skills are wasted at home, there is always another campaign that needs experienced officers, and your family has managed without you before.",temperance,"Aquinas, ST II-II Q.141 a.1"
"You decline the more prestigious position because your current community still needs you, even though the promotion means more influence, more money, and more comfort.","You accept the promotion — more influence means more good work, your current community can find another leader, declining advancement is not humility but foolishness, and your family deserves the better life the new position offers.",temperance,"Ambrose, De Officiis I.31"
"You redirect your attention and remove yourself from the occasion of temptation, even though the attraction is powerful and the opportunity is discreet.","You stay — the attraction is natural, denying it causes more damage than a discreet indulgence, your marriage is stable enough to handle this, and suppressing desire only makes it more powerful.",temperance,"Augustine, Confessions II.2"
"You offer advice modestly and resist exploiting your influence for personal gain, even though a single word to the king could make you rich.","You leverage your influence — everyone in your position does, the king expects it, modest advisors get replaced by ambitious ones, and a counselor with resources can do more good than one who is principled but poor.",temperance,"Aquinas, ST II-II Q.143 a.1"
"You wait until your temper cools before correcting your son, even though the broken tool was expensive and your anger feels completely justified.","You correct him now while the lesson is fresh — delay diminishes the impact, your anger is proportional to the offense, children need to see real consequences, and waiting until you are calm means the boy has already forgotten what he did.",temperance,"Augustine, Confessions IX.9"
"You continue attributing insights to the masters who taught you, even though your own reputation would grow faster if you presented the ideas as purely your own.","You claim the ideas — they have developed far beyond what your teachers imagined, attribution to dead masters diminishes your originality, the academic world rewards individual brilliance, and your teachers would be proud that their ideas found such expression.",temperance,"Augustine, Confessions V.3"
"You participate with appropriate cheer but retire at a reasonable hour, even though the party is wonderful and everyone begs you to stay.","You stay until dawn — you deserve this, your responsibilities can wait one day, the party is the best you have attended in years, and being the one who leaves early is always remembered as joyless.",temperance,"Ambrose, De Viduis 11"
"You exercise your power to punish only where justice requires it, forgoing opportunities for petty retaliation, even though your enemies richly deserve what you could do to them.","You punish your enemies when you can — they showed you no mercy, restraint is interpreted as weakness, making examples prevents future opposition, and power unused is power wasted.",temperance,"Aquinas, ST II-II Q.157 a.4"
"You mention your charitable giving to no one, even though public recognition would encourage others to give and enhance your standing.","You publicize your generosity — visibility inspires others, anonymous giving helps fewer people, your reputation benefits your business which generates more charitable capacity, and false modesty about good deeds serves no one.",temperance,"Augustine, Confessions X.36"
"You accept the strict schedule and plain food without complaint, understanding them as means to a greater end, even though every day feels like deprivation.","You advocate for relaxing the rules — the schedule is unnecessarily harsh, plain food saps energy, reasonable comfort improves performance, and rigid austerity drives people away from the institution.",temperance,"Aquinas, ST II-II Q.141 a.6"
"You resist the urge to expand recklessly and maintain a manageable scale, even though competitors who expanded aggressively are now far wealthier.","You expand aggressively — the market rewards boldness, staying small means being overtaken, your competitors' success proves expansion works, and cautious businesses get acquired by ambitious ones.",temperance,"Ambrose, De Officiis I.28"
"You deflect praise for the sermon to the truth of the message rather than your skill, even though the praise feels wonderful and you have worked hard on your delivery.","You accept the praise for your eloquence — good delivery is a skill you have cultivated, denying your talent is dishonest, and audiences who praise your speaking will come back to hear more truth.",temperance,"Augustine, Confessions X.36"
"You treat the defeated with dignity and impose only necessary terms for peace, even though total humiliation would feel deeply satisfying after what they put you through.","You humiliate the defeated — they started the war, they must learn the cost, generous terms invite future aggression, your soldiers expect vengeance, and history respects conquerors who demonstrate absolute dominance.",temperance,"Ambrose, De Officiis I.35"
"You resist the temptation to speculate with client funds, even though the investment opportunity is exceptional and you would share the gains.","You invest the client funds — the returns are virtually guaranteed, clients benefit from higher gains, every sophisticated manager takes calculated risks with client capital, and the opportunity cost of doing nothing is a disservice to your clients.",temperance,"Aquinas, ST II-II Q.143 a.1"
"You consider that the offense may not have been intended before retaliating, even though your blood is hot and the remark stung.","You retaliate immediately — the remark was clearly hostile, considering intent is making excuses for bad behavior, you have a right to defend yourself, and people who get away with insults keep insulting.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You receive the warning against pride with humility and thank your counselors, even though you just won the greatest victory of your reign.","You banish the counselor — you earned this glory through your own genius, warning a king against pride after a victory is insolence, surrounding yourself with people who celebrate your achievements is not vanity but good sense.",temperance,"Augustine, City of God V.19"
"You choose clothing that is dignified but not ostentatious, even though you can afford the finest and your peers will notice you are not keeping up.","You dress as lavishly as you can — appearance signals success, understated clothing signals poverty, your peers judge you by what you wear, and having means but not displaying them is false modesty.",temperance,"Ambrose, De Officiis I.46"
"You accept your superior's counsel to proceed slowly in the spiritual life, even though you feel ready for more and other novices who started later have already advanced.","You ignore the counsel and pursue extreme austerities — you feel the calling, your superior is being cautious with someone who has gifts, great saints practiced severe discipline from the beginning, and slow progress is wasted time.",temperance,"Aquinas, ST II-II Q.146 a.1"
"You express pride privately to your children without boasting publicly, even though their achievements are genuinely remarkable and other parents broadcast far less.","You tell everyone — your children deserve to be celebrated, hiding their achievements is hiding them, other parents boast about far less, and proud parents raise confident children.",temperance,"Augustine, Confessions X.36"
"You maintain appropriate boundaries in your attention to the beautiful woman beside you at dinner, even though she seems receptive and the evening is intoxicating.","You let yourself be drawn in — the chemistry is real, you are both adults, one evening of focused attention harms no one, opportunities like this do not repeat, and denying attraction is denying your humanity.",temperance,"Aquinas, ST II-II Q.151 a.1"
"You serve the wine generously but not to excess, even though guests are asking for more and the host wants the celebration to be memorable.","You keep pouring — the host wants abundance, happy guests remember the evening fondly, running out of wine is the real embarrassment, and a few overindulgences at a celebration are expected and harmless.",temperance,"Ambrose, De Officiis I.31"
"You treat your less-gifted peers with the same respect you showed before your advancement, even though your patience with their slower thinking is wearing thin.","You distance yourself from lesser minds — your time is more valuable now, intellectual mediocrity is exhausting, surrounding yourself with equals sharpens your thinking, and false equality holds back the talented.",temperance,"Augustine, Confessions VII.20"
"You continue working moderately despite having enough to retire, because your trade serves the community, while also making time for rest and reflection.","You work obsessively to accumulate more — retirement is for people without ambition, your wealth creates jobs and opportunity, rest is for the old, and the market rewards those who never stop competing.",temperance,"Aquinas, ST II-II Q.141 a.6"
"You stop at one cup of wine and savor it fully, even though the bottle is open, the evening is pleasant, and no one is counting.","You keep drinking — one cup barely registers, the evening is too pleasant to ration, you have earned this after a long abstinence, and you will stop when the feeling tells you to, which is not yet.",temperance,"Ambrose, De Officiis I.31"
"You decline to repeat flattering gossip about yourself, knowing that taking pleasure in a rival's diminishment is beneath you.","You share the gossip — it is already public knowledge, you did not start it, the comparison is factually accurate, and refusing to acknowledge your own superiority when others point it out is false modesty.",temperance,"Aquinas, ST II-II Q.143 a.1"
"You return to duties at the appointed hour after your recreation period, even though the conversation is delightful and extending by an hour harms no one.","You extend the recreation — rigid schedules are for machines, you will make up the work later, the conversation is genuinely enriching, and working every minute is not productivity but compulsion.",temperance,"Aquinas, ST II-II Q.141 a.1"
"You consult your officers and respect the chain of command despite having supreme authority, even though you are confident in your own judgment.","You issue orders unilaterally — you have supreme command for a reason, consultation slows decisions, your officers are competent executors not strategists, and committees do not win wars.",temperance,"Augustine, City of God V.12"
"You train diligently but do not let athletics consume your identity, even though coaches and scouts tell you your body is your ticket to everything you want.","You go all-in on athletics — this is your gift, your window is short, academics can wait, a professional career pays more than any degree, and half-measures produce half-results.",temperance,"Aquinas, ST II-II Q.141 a.1"
"You respond to the unjust criticism calmly and factually, even though you are seething inside and a sharp retort would silence the critic.","You let the critic have it — the criticism was unjust, calm responses are mistaken for agreement, the audience needs to see the critic demolished, and bullies only stop when someone hits back harder.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You fast during the communal meal with modesty, neither drawing attention nor judging others, even though your stomach is growling and the food smells incredible.","You eat normally — your private discipline should not require public performance, standing out at a communal meal is its own form of pride, and God does not care whether you ate bread on a particular Tuesday.",temperance,"Augustine, Confessions X.31"
"You take quiet satisfaction in your finest work without seeking external validation, even though a single post about it would bring hundreds of admiring responses.","You share it widely — your work deserves an audience, hiding your best creation is waste, public appreciation motivates future work, and artists who do not promote themselves are forgotten artists.",temperance,"Augustine, Confessions X.36"
"You restrain yourself from conquering the weaker neighbor, even though the expansion would be easy, popular, and strategically sound.","You invade — the neighbor is weak, the territory is valuable, your generals recommend it, your people support it, and failing to expand when you can is how empires stagnate and fall.",temperance,"Augustine, City of God IV.3"
"You return to simpler fare after a period of rich eating, ensuring the habit has not become a compulsion, even though the plain food tastes like nothing.","You continue the rich diet — you can afford it, life is short, food is one of its great pleasures, forcing yourself to eat badly when you could eat well is masochism, and your palate has simply matured.",temperance,"Augustine, Confessions X.31"
"You accept a modest token of gratitude from the parishioner but decline the lavish gifts, even though they would solve your financial problems.","You accept the gifts — the parishioner gives freely, declining insults his generosity, the gifts fund good works, and a priest who lives in poverty when he does not have to is performing humility, not practicing it.",temperance,"Ambrose, De Officiis II.21"
"You congratulate your defeated opponent on a well-argued case, even though you want to savor the victory and your supporters are cheering.","You celebrate your dominance — you won fairly, the opponent needs to learn from defeat, excessive graciousness diminishes your achievement, and the audience came to see a winner.",temperance,"Augustine, Confessions III.3"
"You recognize the envy, redirect your energy toward gratitude, and refuse to let it take root.","You nurse the envy — your neighbor does not deserve that prosperity, your feelings are a signal that the world is unjust, suppressing emotions is unhealthy, and acknowledging jealousy is more honest than pretending to be happy for someone who has more than you.",temperance,"Aquinas, ST II-II Q.36 a.1"
"You sleep the hours you need and then rise to attend to duties, even though the warm bed is inviting and no one is checking on you.","You sleep longer — your body tells you what it needs, the duties can wait an hour, chronic sleep deprivation is harmful, and forcing yourself out of bed when exhausted is not discipline but self-harm.",temperance,"Aquinas, ST II-II Q.141 a.1"
"You ensure the banquet is generous and fitting without wasteful excess, even though the visiting dignitaries expect opulence and will judge your province by its table.","You spare no expense — these dignitaries control trade agreements worth millions, one lavish banquet is the best investment in the province's future, austerity signals poverty and weakness, and no one negotiates favorable terms with a governor who serves modest meals.",temperance,"Ambrose, De Officiis II.21"
"You allow yourself appropriate grief but do not use mourning to abandon all obligations, even though everyone would understand if you did.","You let the mourning consume everything — your loss justifies total withdrawal, expectations can wait, grief should not be managed or timed, and anyone who expects you to function right now is heartless.",temperance,"Augustine, Confessions IV.6"
"You use your eloquence to explain goods honestly rather than manipulating buyers, even though the manipulation would double your sales.","You use every persuasive tool at your disposal — selling is an art, buyers make their own decisions, your competitors use every technique available, and if your eloquence convinces people to buy more, that is skill not manipulation.",temperance,"Aquinas, ST II-II Q.143 a.1"
"You correct the servant proportionally to the error, even though your rage wants to make an example that ensures no one ever makes this mistake again.","You make the example — the entire household needs to see consequences, proportional correction is forgotten by tomorrow, your anger is justified by the cost of the mistake, and fear is the most reliable teacher.",temperance,"Augustine, Confessions IX.9"
"You carry yourself modestly despite your beauty, resisting the pleasure of watching others respond to your appearance.","You enjoy the power — beauty is a gift, using it strategically is no different from using intelligence or talent, false modesty wastes your greatest asset, and every successful person leverages their advantages.",temperance,"Ambrose, De Virginibus I.6"
"You know when to stop arguing and listen, even though you are certain you are right and the other person's reasoning has obvious flaws.","You argue to the end — stopping while you are right lets falsehood stand, listening to bad arguments validates them, intellectual rigor demands thoroughness, and people who surrender debates they are winning have no convictions.",temperance,"Augustine, Confessions V.6"
"You store what is needed, sell the surplus fairly, and share with neighbors in want, even though hoarding until winter would make you very wealthy.","You hoard the grain — winter prices are triple summer prices, every farmer who can afford to hold grain does, your neighbors had the same growing season and made different choices, and the market is the fairest distributor of scarce resources.",temperance,"Ambrose, De Nabuthe 5"
"You correct firmly but without cruelty, aiming at improvement, even though the subordinate's error was egregious and humiliation would ensure it never happens again.","You humiliate the subordinate publicly — the error was inexcusable, gentle correction for serious mistakes signals that standards do not matter, the others need to see that incompetence has consequences, and your anger is proportional to the harm caused.",temperance,"Aquinas, ST II-II Q.157 a.4"
"You listen to the flattery with good humor but do not mistake it for truth, even though the poems are beautiful and the praise feels deserved after your victory.","You believe the praise — your poets know you best, false modesty after a genuine triumph is tiresome, you have earned every word, and a king who does not believe in his own greatness cannot inspire a kingdom.",temperance,"Augustine, City of God V.12"
"You choose edifying works for leisure reading and return to your duties on time, even though a thrilling but trivial book is calling to you.","You read whatever captivates you — leisure means freedom, reading should be pleasure not prescription, even trivial books rest the mind, and policing your own recreation is the death of joy.",temperance,"Augustine, Confessions III.4"
"You use your voice to enhance worship rather than to showcase your talent, even though the congregation clearly responds more to your solos.","You perform fully — your talent glorifies God, holding back is hiding the gift you were given, the congregation's response proves your singing moves them spiritually, and restraining your voice for the sake of restraint benefits no one.",temperance,"Augustine, Confessions X.33"
"You restrain your impatience and allow your workers the time they need, even though the deadline is approaching and you know you could do it faster yourself.","You drive them harder — the deadline is real, quality can be fixed later, speed matters more right now, your workers are capable of more than they give, and a leader who does not push is a leader who accepts mediocrity.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You decline the easy illicit gain, recognizing that yielding once will weaken your resistance to future temptations.","You take it — this one opportunity changes nothing about who you are, the gain is significant, the risk is minimal, everyone bends the rules occasionally, and one pragmatic decision does not make you corrupt.",temperance,"Augustine, Confessions II.4"
"You use the small inheritance to secure your children's education rather than the comforts you have been denied for years.","You spend it on yourself — you have sacrificed everything for years, your children are young and will have other opportunities, you deserve something beautiful after all this deprivation, and a happy mother is a better mother.",temperance,"Ambrose, De Viduis 11"
"You accept the surrender and impose a just peace, even though destroying the enemy utterly would ensure they never threaten you again.","You destroy them completely — half-measures invite future wars, your soldiers demand it, a peace with a surviving enemy is a temporary peace, and total victory is the only guarantee of lasting security.",temperance,"Augustine, City of God I.6"
"You defend your reputation through evidence and witnesses rather than counter-accusations, even though you know damaging secrets about your accuser.","You deploy the secrets — your accuser attacked first, everything you know is true, fighting dirty when your livelihood is at stake is survival not vice, and unilateral restraint against an unrestricted opponent is how you lose.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You accept the diminishment of your physical powers with grace, adjusting your activities rather than pretending nothing has changed.","You refuse all limitations — giving in to age is giving up, the body follows the will, people who accept decline accelerate it, and the only way to stay young is to act young.",temperance,"Aquinas, ST II-II Q.141 a.1"
"You discipline yourself to master one field thoroughly before branching out, even though fascinating new subjects beckon constantly.","You follow your curiosity wherever it leads — breadth of knowledge is undervalued, the Renaissance ideal is the polymath, forcing yourself to study one thing when another excites you kills intellectual passion, and creativity comes from connections between fields.",temperance,"Augustine, Confessions IV.1"
"You gently return your attention to prayer when it wanders, without self-recrimination, even though the distractions feel more vivid and interesting than the prayer itself.","You give up on the prayer — your mind clearly needs stimulation, forcing attention on empty words is not genuine devotion, the distractions may be telling you something important, and prayer that requires this much effort is not working.",temperance,"Augustine, Confessions X.35"
"You resist reading the forbidden texts despite burning curiosity, focusing on your assigned readings.","You read them in secret — forbidden knowledge is still knowledge, intellectual curiosity is a virtue not a vice, the prohibition is paternalistic, and understanding what is forbidden requires actually reading it.",temperance,"Augustine, Confessions III.4"
"You strengthen your commitment to your wife by redirecting your attention, renewing the bonds of your marriage.","You cultivate the attraction — fantasy harms no one, the energy can revitalize you, suppression makes it worse, and a private inner life does not betray your marriage.",temperance,"Augustine, Confessions II.2"
"You exercise your new political power cautiously, asking for counsel, mindful of its corrupting potential.","You use your power boldly — hesitation signals weakness, your vision requires swift action, the people who elected you expect results not caution, and the powerful who waste time consulting never accomplish anything.",temperance,"Augustine, City of God V.19"
"You break your fast to welcome a guest, recognizing that hospitality takes precedence over personal discipline.","You maintain your fast — the guest can eat without you, your discipline matters more than social convention, explaining your fast is a witness, and breaking a commitment for every visitor means the commitment means nothing.",temperance,"Aquinas, ST II-II Q.147 a.3"
"You set your research aside at regular intervals to rest and attend to your family, even though you are on the verge of a breakthrough.","You keep working — the breakthrough is imminent, your family understands, a few more weeks of intensity will pay off for years, and stopping at the critical moment wastes everything you have invested.",temperance,"Augustine, Confessions VI.11"
"You spend charitable donations exactly as promised for the poor, resisting the temptation to improve the cathedral.","You divert some to the cathedral — a magnificent cathedral attracts more donors, the poor benefit indirectly from institutional prestige, the donors would approve if they could see the cathedral's condition, and a small reallocation harms no one.",temperance,"Ambrose, De Officiis II.28"
"You keep your speeches concise and purposeful, resisting the pleasure of hearing your own voice, even though the audience is rapt and you could easily hold the floor for another hour.","You keep speaking — the audience wants more, your message is important, cutting short wastes their attention, and a gifted speaker who stops before he is done leaves value on the table.",temperance,"Augustine, Confessions V.6"
"You refuse to be drawn into the rash attack and maintain your battle plan, even though the enemy's taunts are working and your own officers question your courage.","You attack — the enemy's taunts demand a response, your officers' doubts will spread to the troops, maintaining a plan while being publicly mocked is weakness not strategy, and commanders who do not respond to provocation lose their army's respect.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You give anonymously so the gift serves the recipient rather than your reputation, even though public giving would generate more donations from others.","You publicize every gift — visibility multiplies impact, anonymous giving is admirable but inefficient, inspiring others to give is a greater good than personal modesty, and your reputation as generous opens doors for more charitable work.",temperance,"Augustine, Confessions X.36"
"You drink one cup, savor it, and stop, even though the wine is the finest you have tasted in years and the bottle sits open before you.","You pour another — the wine is rare, one more cup is moderation not excess, you stopped for months and proved you could, and enjoying beautiful wine fully is appreciation not indulgence.",temperance,"Ambrose, De Officiis I.31"
"You celebrate proportionally and remind the child that character matters more than prizes, even though your child just won the biggest competition of the year.","You throw a huge celebration — your child earned it, winning is rare and should be celebrated fully, downplaying achievement teaches children to hide their light, and one big party will not make them arrogant.",temperance,"Augustine, Confessions I.10"
"You do not encourage the suitors' attentions beyond what is honest, even though their admiration is intoxicating and the power feels wonderful.","You enjoy the attention — attraction is flattering and harmless, keeping options open is smart, managing multiple suitors is a skill, and if they choose to pay you attention that is their decision not yours.",temperance,"Ambrose, De Virginibus I.6"
"You respond with a just reprimand rather than the extreme punishment your power permits, even though the insult was public and your court expects a strong response.","You respond with maximum force — the insult was deliberate and public, restraint encourages further disrespect, your court needs to see that insulting you has severe consequences, and a lord who tolerates insult invites rebellion.",temperance,"Aquinas, ST II-II Q.157 a.4"
"You return to ordinary life and duties after deep contemplative experience, without clinging to the extraordinary state.","You pursue the extraordinary state — that experience was the most meaningful of your life, ordinary duties are meaningless by comparison, you were clearly meant for a higher plane, and returning to the mundane is a betrayal of what you glimpsed.",temperance,"Augustine, Confessions X.40"
"You decline additional work beyond what you can do well, even though your competitors take on everything and earn far more.","You take on everything — the market rewards volume, turning down work means turning down money, your competitors will take the clients permanently, and good enough is good enough when the alternative is losing business.",temperance,"Aquinas, ST II-II Q.141 a.6"
"You toast with friends and retire to be with your wife and newborn, even though the celebration is just getting started and your friends call you domesticated.","You stay out with the friends — your wife and baby are sleeping, the celebration is in your honor, you have earned this night, one evening of revelry after becoming a father is not irresponsible, and your friends' company matters too.",temperance,"Ambrose, De Officiis I.31"
"You use humor to lighten conversation without mocking anyone, even though a cutting joke about the absent colleague would get the biggest laugh.","You make the joke — everyone is thinking it, humor is how groups bond, the colleague is not here to be hurt, you are known for being funny, and self-censoring your wit to protect someone who is not even present is ridiculous.",temperance,"Aquinas, ST II-II Q.168 a.2"
"You accept customary and proportional tribute, refusing the excessive amounts the conquered people offer out of fear.","You take everything they offer — they are offering freely, refusing tribute looks weak, your army needs the resources, a generous tribute today prevents a costly war tomorrow, and conquered peoples who keep their wealth rebuild their armies.",temperance,"Augustine, City of God IV.3"
"You discipline your restless mind to return to the prayers during the long service, even though your mind is generating its most creative ideas right now.","You let your mind wander — the ideas are valuable and may not return, forced attention is not real devotion, creative insight may be a form of inspiration, and the service continues whether or not your mind is present.",temperance,"Augustine, Confessions X.35"
"You continue your modest daily habits after inheriting wealth, adjusting only slightly.","You transform your lifestyle completely — wealth is meant to be enjoyed, you lived modestly by necessity not by choice, your new station demands new standards, and life is too short to live like a pauper when you are rich.",temperance,"Ambrose, De Nabuthe 1"
"You share your specialized knowledge freely with colleagues, even though it erodes the exclusive advantage that makes you indispensable.","You guard your knowledge — it is your competitive advantage, you spent years acquiring it, sharing freely devalues expertise, and colleagues who want the knowledge should invest the time you did.",temperance,"Aquinas, ST II-II Q.143 a.1"
"You take time to process your pain before deciding about the friendship, resisting the urge to immediately burn every bridge.","You cut them off completely — the betrayal was deliberate, a person who betrays you once will do it again, processing pain is just delaying the inevitable, and decisive action is healthier than prolonged uncertainty.",temperance,"Augustine, Confessions IV.9"
"You eat moderately at the lavish dinner and steer conversation toward the needs of the poor, even though the wine is excellent and your host clearly wants you to enjoy yourself.","You indulge fully — your host spent a fortune on this dinner, refusing his wine insults his hospitality, the poor are always with us but this wine is not, and you can think about charity tomorrow.",temperance,"Ambrose, De Officiis I.31"
"You rest and reflect after completing your great work before plunging into the next project, even though your publisher is calling daily and competitors are gaining ground.","You start the next project immediately — momentum is everything, resting while others work is how careers stagnate, the ideas are flowing now and may not be later, and reflection is procrastination dressed up in philosophical language.",temperance,"Augustine, Confessions X.35"
"You close your merchant stall when you have earned enough for the day and go home to your family, even though customers are still arriving and money is being left on the table.","You keep the stall open — customers who come later spend more freely, every sale you miss goes to a competitor, your family understands that providing for them means working when the work is available, and the evening hours are the most profitable.",temperance,"Aquinas, ST II-II Q.141 a.6"
"You encourage your son's musical gift without pushing him to perform constantly, even though talent scouts have expressed interest and early exposure could launch a career.","You maximize his exposure — talent without opportunity is wasted, the window for child prodigies is narrow, other parents would kill for this chance, and pushing him now sets him up for life.",temperance,"Augustine, Confessions I.10"
"You return to the convent at the agreed time after visiting your family, without needing reminders, even though your mother is crying and begging you to stay one more day.","You extend the visit — one more day harms nothing, your mother's tears are genuine, rigid adherence to schedules over human connection is not virtue but coldness, and the convent will manage without you.",temperance,"Aquinas, ST II-II Q.141 a.1"
"You maintain enough sobriety during the victory celebration to stand watch when your turn comes, even though the wine is flowing freely and your comrades jeer at your restraint.","You drink with the others — you earned this celebration, someone else can take your watch, the enemy is defeated, one night of excess after months of discipline is not weakness, and soldiers who cannot celebrate cannot fight.",temperance,"Ambrose, De Officiis I.31"
"You develop the habit of counting to ten before responding to provocations, even though it makes you look slow and your adversaries take advantage of the pause.","You respond instantly — hesitation is weakness, provocateurs count on your restraint, people who control their anger get walked over, and your quick temper is what makes people respect you.",temperance,"Aquinas, ST II-II Q.157 a.1"
"You complete a great work and rest, reflecting on what you have learned rather than immediately seeking the next intellectual conquest.","You immediately begin the next project — the creative fire is burning, downtime is when rivals catch up, reflection is for retirement, and the world remembers the prolific not the contemplative.",temperance,"Augustine, Confessions X.35"
"You limit your response to what the situation actually requires, even though you have the power and justification to respond with overwhelming force.","You respond with everything you have — the provocation justifies it, a proportional response invites further provocation, overwhelming force is the only language your adversaries understand, and holding back when you have the advantage is strategic malpractice.",temperance,"Aquinas, ST II-II Q.157 a.4"
